Datum,Region,Kundenpünktlichkeit KPP,KPP FV,KPP RV,KAP,KAP FV,KAP RV
2021-05-15,RSD,96.5905189,96.1572945805,97.1433355838,97.1973656329,97.0681195682,97.3216848069
2021-05-15,RWT,92.7590559069,91.5906634204,94.5767393838,93.0592210286,91.4408183602,95.3536854133
2021-05-16,ROT,97.7984035416,94.2421998178,99.4138401881,98.1799043794,94.7296459317,99.4648994237
2021-05-17,NETZ,91.8453682908,86.7080276962,95.0567589738,92.5200462753,87.6098973288,95.2933278925
2021-05-18,RME,92.1538532083,90.1896320261,94.1118440467,92.4911117771,90.4759288814,94.3347212736
2021-05-20,NETZ,93.9345471433,89.9750453279,96.4060441967,94.4476769596,90.6656770151,96.5842868531
2021-09-07,RSD,93.2253237364,91.6470796124,94.8487302515,93.7109424676,92.1310150211,95.1268061322
2021-09-08,RSD,92.6413218017,91.711185376,93.5850545025,93.37962622,91.6360537883,94.949215053
2021-09-10,RSD,94.3123000523,94.816437319,93.7986328951,95.0132416416,95.4543303,94.6195859865
2021-09-10,RWT,90.5984084093,90.3092115982,90.9691230461,91.1331463079,90.9097633688,91.4075566326
2021-09-11,RSD,93.2907783438,91.9969381738,94.8925673102,94.3604250208,93.1470392491,95.4944588371
2021-09-11,RWT,95.2612218601,93.5644849015,97.9671649711,96.1453620274,94.6738891042,98.2873835416
2021-09-12,RWT,93.5940354282,92.4242122312,95.4554425215,94.2070301596,93.0015688271,95.9592003164
2021-11-21,NETZ,93.445765464,88.8061666691,97.2199218161,94.5361709703,90.0066794878,97.6101986712
2021-11-21,RSD,93.8005991844,93.9858604109,93.5762642062,94.8604906243,93.5772339529,96.058972176
2021-11-21,RWT,89.5685237635,86.8221786947,93.9018451856,90.5025338342,87.5376040317,94.693087782
2021-11-22,ROT,86.6821731721,84.1774481843,87.5451003726,87.4881827759,85.2776181352,88.1505935054
2021-11-23,RSD,94.4618256661,93.5983333717,95.3474932236,94.8005727899,93.3106587894,96.1423864602
2021-11-25,ROT,90.5229523295,86.2562236373,91.9840900363,91.3962303387,87.4553171696,92.5663183556
2021-11-25,RWT,83.092153774,80.6768125576,86.3240359222,86.0187578731,84.6855931363,87.6738659462
2021-11-26,RWT,80.3252407498,77.1762057452,84.4631776771,80.873059679,77.3683651045,85.2851522863
2021-11-27,NETZ,95.5752116491,93.0462445857,97.599774929,96.3078425123,93.919810634,97.9167844502
2021-06-07,RME,90.6832060476,88.804175407,92.5589987689,91.095413955,89.4106607572,92.6327907474
2021-06-10,RME,94.2542525789,92.6148890629,95.8877025745,94.8561190005,93.7549818628,95.8555256902
2021-06-10,ROT,96.3666632069,93.5279818882,97.3361166882,96.762260068,94.2951185523,97.4943057301
2021-06-10,RSD,92.6300172452,90.3714880565,94.9417513613,93.4841366757,90.9917396949,95.7121163388
2021-06-11,RSD,93.5605641166,92.3364064293,94.8325035642,93.8633965795,93.1798894722,94.4782462244
2021-06-12,RME,94.7448096534,94.924733731,94.5145183213,95.8940128982,95.0320181862,96.855079908
2021-06-13,RSD,91.0571393461,89.2727647132,93.2414982687,93.132365297,89.4580147223,96.674678536
2021-01-19,NETZ,91.4952312451,90.6935573282,91.9875298035,93.0762987395,92.1908977566,93.5705359101
2021-01-19,RME,92.0049796811,91.9868439208,92.0225640371,93.4421999617,93.6357710253,93.2702653581
2021-01-21,NETZ,91.7862151306,90.1057721158,92.8634737913,92.7560863903,91.720403804,93.3542934281
2021-01-21,RME,95.0033657347,93.5379574257,96.4559223704,95.6195529239,94.2501149235,96.8628474422
2021-01-21,RSD,82.8487910061,82.0298306363,83.5769050411,83.7316905072,83.6709903301,83.7781601381
