Datum;Region;Kundenpünktlichkeit KPP;KPP FV;KPP RV;KAP;KAP FV;KAP RV;ZPK;ZPK FV;ZPK RV;KCOR;cor;Schlüssel
2021-10-23;NETZ;92.5875559801;88.4723787123;95.5629438293;93.8192968774;89.9101164521;96.1766891185;92.8228566027;90.3998195654;93.2525213883;96.9769599748;99.0306245965;2021-10-23 00:00:00-NETZ
2021-10-23;RWT;90.5131656885;87.6640388127;94.1467509985;91.9775233488;88.645953943;95.7287080971;91.6740731647;88.7298250997;92.4103046114;98.6602118734;98.9104967198;2021-10-23 00:00:00-RWT
2021-07-16;ROT;91.3227241475;91.8917252972;91.1282198385;92.9376692352;92.9622545529;92.9302576002;93.5004871052;92.8471933472;93.5659798726;96.931852521;98.8837059203;2021-07-16 00:00:00-ROT
2021-07-18;ROT;94.597658272;91.5026164879;96.0390243705;95.6697546824;92.8412230117;96.7529194298;94.9991074303;93.9792599224;95.1099935107;96.6586691154;98.5525659789;2021-07-18 00:00:00-ROT
2021-07-21;RSD;84.7579830412;88.4095643005;81.5115866669;87.3332860151;88.5358637682;86.3791295124;88.0366413967;87.2505567929;88.3888888889;93.2425790397;95.9136822773;2021-07-21 00:00:00-RSD
2021-07-22;RSD;93.6749682648;92.5762216425;94.7953272467;94.6831830203;93.897895815;95.3787211335;91.1294642857;90.2216494845;91.5661157025;95.3316071616;97.77676951;2021-07-22 00:00:00-RSD
2021-01-28;RME;86.7707776545;83.0936595347;90.4339001913;88.4190941025;85.669690631;90.88528896;87.9765025084;85.9050056883;88.4312023973;94.5629435042;97.3824683259;2021-01-28 00:00:00-RME
2021-01-29;NETZ;89.8359459927;85.6455186428;92.471640419;91.1533739177;87.8503720121;93.0110822763;89.0807393532;87.7916908774;89.3112668373;96.2375874579;98.6025853038;2021-01-29 00:00:00-NETZ
2021-11-03;NETZ;85.1880296595;80.0085787194;88.4216166703;86.0481513468;80.8511778546;88.9800652784;85.0692889661;83.1067954116;85.4195998134;95.3106667785;98.0485731741;2021-11-03 00:00:00-NETZ
2021-11-03;RSD;90.5009018883;90.3598042705;90.6465166622;90.2954642149;89.4602731924;91.0498820722;88.8295968959;90.3675799087;88.0705086929;97.9816178387;98.0734767025;2021-11-03 00:00:00-RSD
