Datum,Region,Kundenpünktlichkeit KPP,KPP FV,KPP RV,KAP,KAP FV,KAP RV
2021-06-17,NETZ,91.3747406486,87.4479599644,93.8379667907,92.4278387464,88.770357455,94.4970778161
2021-06-18,NETZ,91.2619033637,88.3975983901,93.0518438016,93.0518435131,89.8900663707,94.8640334888
2021-06-19,NETZ,95.0787755872,91.8528364969,97.6183148178,96.1290200726,93.2507835761,98.0295466217
2021-06-20,NETZ,96.0062395801,94.2189592981,97.3996909251,96.7244184847,94.8627494731,97.9507716697
2021-06-21,NETZ,92.4198181692,89.8228498399,94.0297174365,93.6511793534,91.0206467142,95.1355536458
2021-06-22,NETZ,89.2973674937,84.4430145079,92.3042328338,90.2461424092,85.1460830294,93.1061338193
2021-06-23,NETZ,90.669263883,85.8995171342,93.6496825765,91.8570587673,87.0836881044,94.5643308944
2021-06-24,NETZ,85.551286197,80.4845473706,88.6855384414,87.7963943105,82.7196146292,90.6295517674
2021-06-25,NETZ,94.3404908982,90.9233100795,96.4676203397,95.1072649899,92.1936201684,96.7423769762
2021-06-26,NETZ,95.6711091973,93.148695836,97.6663085881,96.5128099778,94.2525459645,98.0184679678
2021-06-27,NETZ,95.3032284938,92.8994223837,97.2042347675,95.8338848374,93.584405478,97.3347840834
2021-06-28,NETZ,90.3558499821,86.8782570084,92.5348794877,91.7941906329,88.4081053797,93.7210119274
2021-06-29,NETZ,91.1366157394,87.1838478589,93.6021175062,91.9139976725,88.1286095396,94.0474540206
2021-06-30,NETZ,93.1525391034,89.6556240548,95.3302616204,93.887465528,90.9033434676,95.5623541101
2021-07-01,NETZ,94.1784271396,90.8429705137,96.2569418574,94.8833277665,92.0448624623,96.4726610103
2021-07-02,NETZ,93.8304086337,92.0820625657,94.9146801779,94.6109223252,92.9513474131,95.5459237527
2021-07-03,NETZ,96.7220578433,94.758162458,98.2741156238,97.2723661909,95.4579743208,98.4825174918
2021-07-04,NETZ,97.0544016934,95.5417880436,98.2539222396,97.5972065616,96.3802347876,98.4099167432
2021-07-05,NETZ,94.8953749055,92.3284509261,96.495776885,95.5345468393,93.3007899813,96.7920414848
2021-07-06,NETZ,89.6319137651,85.9959918522,91.8948703654,90.7936102191,87.0093265231,92.9403659235
2021-07-07,NETZ,89.0467805589,85.0977872202,91.4850775057,90.5404812681,86.7317216495,92.6739519497
2021-07-08,NETZ,89.4586941754,83.9500540761,92.9036576445,90.3360384915,84.5989718363,93.5965297883
2021-07-09,NETZ,94.6634948661,91.4932361884,96.6410564433,95.0063533822,92.0545965492,96.6746605166
2021-07-10,NETZ,94.0213187553,90.098755342,97.0340934879,94.2445937999,90.0596017069,96.9396618274
2021-07-11,NETZ,96.9980921078,94.920495907,98.628054244,97.2320209542,95.1729862922,98.5890240861
2021-07-12,NETZ,91.8043949856,89.1696007911,93.4772799619,92.301248951,89.3474826535,94.0087060622
2021-07-13,NETZ,79.7152270754,78.7655494695,80.3071995094,83.3614410215,81.4905098203,84.442819456
2021-07-14,NETZ,91.3029465105,86.9704880446,94.0482704241,93.25989491,88.8225437611,95.8243120993
2021-07-15,NETZ,92.2338536159,88.7466296206,94.4620055942,92.9281438239,89.6249029422,94.8328373179
2021-07-16,NETZ,90.9367602764,88.9155436008,92.2240806742,92.0984669082,89.8718705896,93.3950059923
2021-07-17,NETZ,94.9095562229,91.8718492211,97.3218238004,95.9279330253,92.9290470175,97.9281258024
2021-07-18,NETZ,93.3776334516,90.8974216735,95.3425193757,94.396829552,91.9266426368,96.0411813889
2021-07-19,NETZ,91.9047660272,91.0371415262,92.4476370566,93.5668387527,92.1611150138,94.3751910199
2021-07-20,NETZ,94.7185130837,91.9390607141,96.4591508165,95.4581256132,92.9848802053,96.8562384237
2021-07-21,NETZ,94.4474105774,91.7924284918,96.0943810648,95.2727116747,92.7350054823,96.6965111696
2021-07-22,NETZ,93.57079232,89.7036127184,96.0055585393,94.2868618131,90.6649365305,96.3455576737
2021-07-23,NETZ,94.1578416658,89.9595495945,96.7983439853,95.0059260478,91.2093193388,97.1601380809
2021-07-24,NETZ,93.1274979703,88.8017502677,96.631464236,94.4196578577,90.1490193607,97.3373913748
2021-07-25,NETZ,93.6879725557,90.2806243415,96.4517113512,95.5152398626,92.5222418234,97.5582551466
2021-07-26,NETZ,92.4978849989,89.3322343133,94.4708850709,93.3660756396,90.6196373015,94.9128606337
2021-07-27,NETZ,93.5767955076,89.5340220411,96.0966921236,94.3185778772,90.5485805875,96.4342338841
2021-07-28,NETZ,94.1735618446,89.5151387807,97.0943854195,94.7272888051,90.2238761447,97.2806403662
2021-07-29,NETZ,94.8978454968,91.4013011398,97.089310987,95.6460370782,92.3759297876,97.5003437415
2021-07-30,NETZ,94.5711865173,91.7364174111,96.3482320283,95.3090497739,92.8555604298,96.697953773
2021-07-31,NETZ,95.8718429339,93.7377586169,97.488877757,96.4617489354,94.1008987032,97.9667046317
2021-08-01,NETZ,96.2090508022,94.110298529,97.7995408627,96.9829240496,94.817950236,98.3546953233
2021-08-02,NETZ,94.1880738795,91.8563713245,95.6465051754,95.0322953178,93.0469885686,96.1547786013
2021-08-03,NETZ,93.0946888106,88.9346975577,95.6927523901,93.8190383486,89.9874959586,95.9813128918
2021-08-04,NETZ,92.2759212977,88.3318775316,94.7398761263,93.0007612174,89.2878413965,95.0945127907
2021-08-05,NETZ,93.6822714297,89.8566763605,96.0726079944,94.3857496875,90.9738371419,96.3106754678
2021-08-06,NETZ,93.9808917124,90.5959223866,96.0852292118,94.7727213311,91.6122012107,96.5531382014
2021-08-07,NETZ,92.7181421138,89.3226165715,95.3730562605,94.5653873647,90.9293916718,96.9699080655
2021-08-08,NETZ,95.9928778555,93.5932946824,97.8853780959,96.7692005026,94.2436683275,98.4430346435
2021-08-09,NETZ,91.9935139731,89.3245712181,93.660027801,92.4321362143,89.8176415382,93.9148071242
2021-08-10,NETZ,92.8116248921,89.0044362041,95.21008969,93.9029363485,90.4585060389,95.8653961307
2021-08-11,NETZ,94.2066871356,90.6685246518,96.4429310704,95.2061014462,92.170401582,96.9303562932
2021-08-12,NETZ,92.8172340665,89.9874307415,94.6000070261,93.6932967872,91.1678132059,95.1338743632
2021-08-13,NETZ,94.8589066371,92.3599665044,96.4336387455,95.2592900937,92.9326628291,96.5868125302
2021-08-14,NETZ,94.0766002531,91.29089636,96.2478955462,95.2840172246,92.4807232221,97.1287206647
2021-08-15,NETZ,93.6741221765,90.9830816715,95.7784569606,94.8732461757,91.7659865004,96.9331205881
2021-08-16,NETZ,93.9183558408,90.4966042046,96.122764572,94.7776918503,91.7459084248,96.5393871572
2021-08-17,NETZ,93.3753348303,90.7301437859,95.0687021943,93.9637082725,91.4159725491,95.4445162302
2021-08-18,NETZ,94.4269720307,91.57038657,96.2625602608,94.9601297913,92.2849918436,96.518361309
2021-08-19,NETZ,93.6388314607,90.4996674282,95.6501188478,94.0632239948,91.1329013624,95.7655288109
2021-08-20,NETZ,95.1742943383,93.2341653802,96.4155990648,95.5312260794,93.6710715219,96.6140862008
2021-08-21,NETZ,95.1822879189,93.4205958584,96.5487878083,96.2739700863,94.1967681288,97.6501566711
2021-08-22,NETZ,95.6173990488,92.9688828742,97.6596692299,96.6419043402,93.9779706417,98.37951488
2021-08-23,NETZ,93.0225727845,89.9540997088,94.9821104812,94.1359713152,91.3277185093,95.7622780329
2021-08-24,NETZ,94.4465314317,91.7590012666,96.1654320866,94.9181902368,92.2981003945,96.4369760178
2021-08-25,NETZ,94.1055534469,90.7791561746,96.2301025568,94.6937251603,91.5676385196,96.5026104001
2021-08-26,NETZ,90.113730881,85.3306418529,93.1297714088,91.2583374086,86.956359693,93.7077607624
2021-08-27,NETZ,93.5780029403,90.4767165492,95.5515726468,94.1516743882,91.3307119352,95.7769850945
2021-08-28,NETZ,94.7103197816,91.6764719885,97.0709584073,95.6699257253,92.6198748984,97.6774516089
2021-08-29,NETZ,95.1304265685,92.4697868891,97.181679285,96.1641655662,93.6300725323,97.8089381775
2021-08-30,NETZ,89.9147747876,88.3194816414,90.8564355091,90.7921713728,89.0684542027,91.7159902334
2021-08-31,NETZ,95.4766929255,94.004469097,96.3414741312,95.8519610353,94.390137233,96.6273887869
2021-09-01,NETZ,92.4192707077,89.7187077873,93.998562285,93.1013012415,90.7827149741,94.3223598951
2021-09-02,NETZ,91.5879628326,89.3847822467,92.8739753178,92.2215049244,90.1661925719,93.3038251996
2021-09-03,NETZ,92.8508513845,87.8739090071,95.7698705544,93.6400797731,88.9581115237,96.1090336666
2021-09-04,NETZ,93.9307688417,90.2082569282,96.6722728359,95.1259219434,91.6220375616,97.2837979148
2021-09-05,NETZ,95.5368603466,93.0057298832,97.3934087037,96.2616213163,93.6926869969,97.8432320496
2021-09-06,NETZ,91.679106796,90.2426310598,92.5205867313,92.2441389813,90.8238268136,92.9957781284
2021-09-07,NETZ,91.2647003546,87.1460083466,93.7703754173,92.1261219269,88.3769664418,94.1770404243
2021-09-08,NETZ,92.7200413713,88.917140951,95.099382742,93.28825886,89.8911286802,95.2066587351
2021-09-09,NETZ,92.9632641267,89.0228132804,95.4345675669,93.5371331437,89.9938750061,95.5419562583
